,Name,SMILES,A,B,C,Tmin,Tmax,No.C
80,2-(2-Pentyl)phenol,CCCC(C)C1=CC=CC=C1O,21.0138751,3850.368977,-109.909,397,501,11
81,Phthalide,C1C2=CC=CC=C2C(=O)O1,22.57035355,5740.121286,-43.794,368,563,8
82,"2,6-Dimethylaniline",CC1=C(C(=CC=C1)C)N,22.47389826,5058.090976,-29.256,317,491,8
83,Diethyl (+)-tartrate,CCOC(=O)C(C(C(=O)OCC)O)O,24.72340876,7087.522702,-15.815,373,553,8
84,"2,4,6-Trimethyl-aniline",CC1=CC(=C(C(=C1)C)N)C,24.2840525,5865.939141,-39.039,341,477,9
85,2-Ethylbutyric acid,CCC(CC)C(=O)O,25.12599274,5953.029817,-28.838,374,467,6
86,2-tert-Butylphenol,CC(C)(C)C1=CC=CC=C1O,21.8140004,4435.384469,-66.116,328,497,10
87,3-Methyl-6-tert-butylphenol,CC1=CC(=C(C=C1)C(C)(C)C)O,21.82268114,4439.14459,-83.918,378,517,11
88,2-sec-Butylphenol,CCC(C)C1=CC=CC=C1O,20.89485448,3667.18682,-109.418,452,513,10
89,p-Cymen-3-ol,CC1=CC(=C(C=C1)C(C)C)O,22.81111184,5029.025445,-58.598,339,514,10
